column,converted_non_null,introduced_nans,dtype_after
TotalCharges,7032,11,float64
customerID,0,7043,object
gender,0,7043,object
PaymentMethod,0,7043,object
PaperlessBilling,0,7043,object
Contract,0,7043,object
StreamingMovies,0,7043,object
StreamingTV,0,7043,object
TechSupport,0,7043,object
DeviceProtection,0,7043,object
OnlineBackup,0,7043,object
OnlineSecurity,0,7043,object
InternetService,0,7043,object
MultipleLines,0,7043,object
PhoneService,0,7043,object
Dependents,0,7043,object
Partner,0,7043,object
Churn,0,7043,object
